Mass Spring Dampener Position Data - Oct.31.2023. Oct 31, 2023 1:41 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.530	28.408	0.239
0.540	28.447	0.239
0.550	28.443	0.239
0.560	28.405	0.239
0.570	28.323	0.239
0.580	28.208	0.239
0.590	28.053	0.239
0.600	27.864	0.239
0.610	27.637	0.239
0.620	27.379	0.239
0.630	27.108	0.239
0.640	26.777	0.239
0.650	26.421	0.239
0.660	26.064	0.239
0.670	25.708	0.239
0.680	25.309	0.239
0.690	24.857	0.239
0.700	24.432	0.239
0.710	23.989	0.239
0.720	23.543	0.239
0.730	23.057	0.239
0.740	22.645	0.239
0.750	22.206	0.239
0.760	21.743	0.239
0.770	21.360	0.239
0.780	20.952	0.239
0.790	20.535	0.239
0.800	20.153	0.239
0.810	19.814	0.239
0.820	19.509	0.239
0.830	19.233	0.239
0.840	18.963	0.239
0.850	18.705	0.239
0.860	18.551	0.239
0.870	18.354	0.239
0.880	18.281	0.239
0.890	18.195	0.239
0.900	18.157	0.239
0.910	18.166	0.239
0.920	18.205	0.239
0.930	18.282	0.239
0.940	18.369	0.239
0.950	18.550	0.239
0.960	18.705	0.239
0.970	18.963	0.239
0.980	19.217	0.239
0.990	19.484	0.239
1.000	19.811	0.239
1.010	20.142	0.239
1.020	20.478	0.239
1.030	20.896	0.239
1.040	21.304	0.239
1.050	21.726	0.239
1.060	22.131	0.239
1.070	22.596	0.239
1.080	23.043	0.239
1.090	23.460	0.239
1.100	23.904	0.239
1.110	24.338	0.239
1.120	24.760	0.239
1.130	25.156	0.239
1.140	25.551	0.239
1.150	25.935	0.239
1.160	26.296	0.239
1.170	26.628	0.239
1.180	26.942	0.239
1.190	27.230	0.239
1.200	27.484	0.239
1.210	27.713	0.239
1.220	27.902	0.239
1.230	28.057	0.239
1.240	28.174	0.239
1.250	28.251	0.239
1.260	28.290	0.239
1.270	28.291	0.239
1.280	28.252	0.239
1.290	28.175	0.239
1.300	28.059	0.239
1.310	27.905	0.239
