Mass Spring Only Mass Position Data Oct 31, 2023 1:49 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.680	27.906	0.239
0.690	27.876	0.239
0.700	27.808	0.239
0.710	27.714	0.239
0.720	27.585	0.239
0.730	27.427	0.239
0.740	27.246	0.239
0.750	27.032	0.239
0.760	26.791	0.239
0.770	26.534	0.239
0.780	26.250	0.239
0.790	25.954	0.239
0.800	25.636	0.239
0.810	25.305	0.239
0.820	24.966	0.239
0.830	24.618	0.239
0.840	24.266	0.239
0.850	23.910	0.239
0.860	23.558	0.239
0.870	23.192	0.239
0.880	22.845	0.239
0.890	22.509	0.239
0.900	22.187	0.239
0.910	21.878	0.239
0.920	21.590	0.239
0.930	21.324	0.239
0.940	21.075	0.239
0.950	20.848	0.239
0.960	20.650	0.239
0.970	20.479	0.239
0.980	20.342	0.239
0.990	20.222	0.239
1.000	20.145	0.239
1.010	20.093	0.239
1.020	20.076	0.239
1.030	20.090	0.239
1.040	20.137	0.239
1.050	20.211	0.239
1.060	20.319	0.239
1.070	20.461	0.239
1.080	20.621	0.239
1.090	20.823	0.239
1.100	21.047	0.239
1.110	21.288	0.239
1.120	21.555	0.239
1.130	21.848	0.239
1.140	22.158	0.239
1.150	22.480	0.239
1.160	22.816	0.239
1.170	23.161	0.239
1.180	23.518	0.239
1.190	23.884	0.239
1.200	24.263	0.239
1.210	24.620	0.239
1.220	24.981	0.239
1.230	25.326	0.239
1.240	25.653	0.239
1.250	25.954	0.239
1.260	26.243	0.239
1.270	26.518	0.239
1.280	26.777	0.239
1.290	27.013	0.239
1.300	27.220	0.239
1.310	27.410	0.239
1.320	27.565	0.239
1.330	27.699	0.239
1.340	27.798	0.239
1.350	27.867	0.239
1.360	27.906	0.239
1.370	27.915	0.239
1.380	27.890	0.239
1.390	27.830	0.239
1.400	27.736	0.239
1.410	27.603	0.239
1.420	27.449	0.239
1.430	27.259	0.239
1.440	27.053	0.239
1.450	26.817	0.239
1.460	26.560	0.239
1.470	26.281	0.239
1.480	25.984	0.239
1.490	25.671	0.239
1.500	25.345	0.239
1.510	25.005	0.239
1.520	24.657	0.239
1.530	24.305	0.239
1.540	23.940	0.239
1.550	23.588	0.239
1.560	23.236	0.239
1.570	22.888	0.239
1.580	22.548	0.239
1.590	22.222	0.239
1.600	21.913	0.239
1.610	21.625	0.239
1.620	21.359	0.239
1.630	21.106	0.239
1.640	20.874	0.239
1.650	20.677	0.239
1.660	20.501	0.239
1.670	20.359	0.239
1.680	20.239	0.239
