Position Uncertainty Oct 31, 2023 2:36 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	15.392	0.239
0.010	15.393	0.239
0.020	15.393	0.239
0.030	15.394	0.239
0.040	15.394	0.239
0.050	15.394	0.239
0.060	15.394	0.239
0.070	15.395	0.239
0.080	15.395	0.239
0.090	15.396	0.239
0.100	15.396	0.239
0.110	15.397	0.239
0.120	15.384	0.239
0.130	15.385	0.239
0.140	15.385	0.239
0.150	15.385	0.239
0.160	15.385	0.239
0.170	15.386	0.239
0.180	15.386	0.239
0.190	15.387	0.239
0.200	15.387	0.239
0.210	15.388	0.239
0.220	15.388	0.239
0.230	15.388	0.239
0.240	15.389	0.239
0.250	15.389	0.239
0.260	15.390	0.239
0.270	15.390	0.239
0.280	15.390	0.239
0.290	15.391	0.239
0.300	15.391	0.239
0.310	15.391	0.239
0.320	15.392	0.239
0.330	15.392	0.239
0.340	15.393	0.239
0.350	15.393	0.239
0.360	15.394	0.239
0.370	15.394	0.239
0.380	15.394	0.239
0.390	15.395	0.239
0.400	15.395	0.239
0.410	15.395	0.239
0.420	15.396	0.239
0.430	15.396	0.239
0.440	15.397	0.239
0.450	15.384	0.239
0.460	15.385	0.239
0.470	15.385	0.239
0.480	15.385	0.239
0.490	15.386	0.239
0.500	15.386	0.239
0.510	15.386	0.239
0.520	15.387	0.239
0.530	15.387	0.239
0.540	15.388	0.239
0.550	15.388	0.239
0.560	15.388	0.239
0.570	15.389	0.239
0.580	15.389	0.239
0.590	15.390	0.239
0.600	15.390	0.239
0.610	15.391	0.239
0.620	15.391	0.239
0.630	15.391	0.239
0.640	15.391	0.239
0.650	15.392	0.239
0.660	15.392	0.239
0.670	15.393	0.239
0.680	15.393	0.239
0.690	15.394	0.239
0.700	15.394	0.239
0.710	15.394	0.239
0.720	15.395	0.239
0.730	15.395	0.239
0.740	15.396	0.239
0.750	15.396	0.239
0.760	15.396	0.239
0.770	15.384	0.239
0.780	15.384	0.239
0.790	15.385	0.239
0.800	15.385	0.239
0.810	15.385	0.239
0.820	15.386	0.239
0.830	15.386	0.239
0.840	15.387	0.239
0.850	15.387	0.239
0.860	15.388	0.239
0.870	15.388	0.239
0.880	15.388	0.239
0.890	15.388	0.239
0.900	15.389	0.239
0.910	15.389	0.239
0.920	15.390	0.239
0.930	15.390	0.239
0.940	15.391	0.239
0.950	15.391	0.239
0.960	15.391	0.239
0.970	15.392	0.239
0.980	15.392	0.239
0.990	15.392	0.239
1.000	15.393	0.239
1.010	15.393	0.239
1.020	15.394	0.239
1.030	15.394	0.239
1.040	15.394	0.239
1.050	15.395	0.239
1.060	15.395	0.239
1.070	15.396	0.239
1.080	15.396	0.239
1.090	15.397	0.239
1.100	15.380	0.239
1.110	15.384	0.239
1.120	15.385	0.239
1.130	15.385	0.239
1.140	15.385	0.239
1.150	15.386	0.239
1.160	15.386	0.239
1.170	15.387	0.239
1.180	15.387	0.239
1.190	15.388	0.239
1.200	15.388	0.239
1.210	15.388	0.239
1.220	15.389	0.239
1.230	15.389	0.239
1.240	15.389	0.239
1.250	15.390	0.239
1.260	15.390	0.239
1.270	15.391	0.239
1.280	15.391	0.239
1.290	15.391	0.239
1.300	15.392	0.239
1.310	15.392	0.239
1.320	15.393	0.239
1.330	15.393	0.239
1.340	15.394	0.239
1.350	15.394	0.239
1.360	15.394	0.239
1.370	15.394	0.239
1.380	15.395	0.239
1.390	15.395	0.239
1.400	15.396	0.239
1.410	15.396	0.239
1.420	15.397	0.239
1.430	15.384	0.239
1.440	15.385	0.239
1.450	15.385	0.239
1.460	15.385	0.239
1.470	15.385	0.239
1.480	15.386	0.239
1.490	15.386	0.239
1.500	15.387	0.239
1.510	15.387	0.239
1.520	15.388	0.239
1.530	15.388	0.239
1.540	15.388	0.239
1.550	15.389	0.239
1.560	15.389	0.239
1.570	15.385	0.239
1.580	15.390	0.239
1.590	15.390	0.239
1.600	15.391	0.239
1.610	15.391	0.239
1.620	15.391	0.239
1.630	15.392	0.239
1.640	15.392	0.239
1.650	15.393	0.239
1.660	15.393	0.239
1.670	15.394	0.239
1.680	15.394	0.239
1.690	15.394	0.239
1.700	15.395	0.239
1.710	15.395	0.239
1.720	15.395	0.239
1.730	15.396	0.239
1.740	15.396	0.239
1.750	15.384	0.239
1.760	15.384	0.239
1.770	15.385	0.239
1.780	15.385	0.239
1.790	15.385	0.239
1.800	15.386	0.239
1.810	15.386	0.239
1.820	15.387	0.239
