Motion Sensor Data File Oct 31, 2023 3:55 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	16.882	0.239
0.010	16.883	0.239
0.020	16.883	0.239
0.030	16.883	0.239
0.040	16.884	0.239
0.050	16.884	0.239
0.060	16.884	0.239
0.070	16.885	0.239
0.080	16.885	0.239
0.090	16.890	0.239
0.100	16.890	0.239
0.110	16.890	0.239
0.120	16.887	0.239
0.130	16.887	0.239
0.140	16.887	0.239
0.150	16.888	0.239
0.160	16.888	0.239
0.170	16.884	0.239
0.180	16.884	0.239
0.190	16.885	0.239
0.200	16.885	0.239
0.210	16.886	0.239
0.220	16.886	0.239
0.230	16.891	0.239
0.240	16.887	0.239
0.250	16.891	0.239
0.260	16.892	0.239
0.270	16.892	0.239
0.280	16.893	0.239
0.290	16.893	0.239
0.300	16.876	0.239
0.310	16.881	0.239
0.320	16.881	0.239
0.330	16.881	0.239
0.340	16.882	0.239
0.350	16.882	0.239
0.360	16.883	0.239
0.370	16.883	0.239
0.380	16.884	0.239
0.390	16.884	0.239
0.400	16.884	0.239
0.410	16.880	0.239
0.420	16.885	0.239
0.430	16.885	0.239
0.440	16.886	0.239
0.450	16.886	0.239
0.460	16.886	0.239
0.470	16.887	0.239
0.480	16.887	0.239
0.490	16.887	0.239
0.500	16.888	0.239
0.510	16.888	0.239
0.520	16.889	0.239
0.530	16.893	0.239
0.540	16.893	0.239
0.550	16.894	0.239
0.560	16.899	0.239
0.570	16.899	0.239
0.580	16.899	0.239
0.590	16.900	0.239
0.600	16.900	0.239
0.610	16.900	0.239
0.620	16.901	0.239
0.630	16.901	0.239
0.640	16.889	0.239
0.650	16.889	0.239
0.660	16.890	0.239
0.670	16.885	0.239
0.680	16.886	0.239
0.690	16.886	0.239
0.700	16.887	0.239
0.710	16.891	0.239
0.720	16.887	0.239
0.730	16.892	0.239
0.740	16.893	0.239
0.750	16.888	0.239
0.760	16.889	0.239
0.770	16.893	0.239
0.780	16.894	0.239
0.790	16.894	0.239
0.800	16.895	0.239
0.810	16.899	0.239
0.820	16.895	0.239
0.830	16.900	0.239
0.840	16.900	0.239
0.850	16.901	0.239
0.860	16.901	0.239
0.870	16.897	0.239
0.880	16.898	0.239
0.890	16.898	0.239
0.900	16.898	0.239
0.910	16.899	0.239
0.920	16.899	0.239
0.930	16.899	0.239
0.940	16.900	0.239
0.950	16.900	0.239
0.960	16.900	0.239
0.970	16.901	0.239
0.980	16.901	0.239
0.990	16.889	0.239
1.000	16.889	0.239
1.010	16.890	0.239
1.020	16.890	0.239
1.030	16.894	0.239
1.040	16.895	0.239
1.050	16.891	0.239
1.060	16.896	0.239
1.070	16.896	0.239
1.080	16.896	0.239
1.090	16.897	0.239
1.100	16.897	0.239
1.110	16.897	0.239
1.120	16.898	0.239
1.130	16.902	0.239
1.140	16.899	0.239
1.150	16.903	0.239
1.160	16.904	0.239
1.170	16.900	0.239
1.180	16.900	0.239
1.190	16.900	0.239
1.200	16.901	0.239
1.210	16.901	0.239
1.220	16.902	0.239
1.230	16.902	0.239
1.240	16.902	0.239
1.250	16.902	0.239
1.260	16.903	0.239
1.270	16.903	0.239
1.280	16.904	0.239
1.290	16.904	0.239
1.300	16.905	0.239
1.310	16.905	0.239
1.320	16.905	0.239
1.330	16.905	0.239
1.340	16.893	0.239
1.350	16.893	0.239
1.360	16.894	0.239
1.370	16.899	0.239
1.380	16.899	0.239
1.390	16.895	0.239
1.400	16.895	0.239
1.410	16.896	0.239
1.420	16.896	0.239
1.430	16.896	0.239
1.440	16.897	0.239
1.450	16.893	0.239
1.460	16.893	0.239
1.470	16.893	0.239
1.480	16.894	0.239
1.490	16.894	0.239
1.500	16.890	0.239
1.510	16.895	0.239
1.520	16.891	0.239
1.530	16.892	0.239
1.540	16.896	0.239
1.550	16.896	0.239
1.560	16.897	0.239
1.570	16.897	0.239
1.580	16.898	0.239
1.590	16.898	0.239
1.600	16.899	0.239
1.610	16.899	0.239
1.620	16.899	0.239
1.630	16.899	0.239
1.640	16.900	0.239
1.650	16.900	0.239
1.660	16.901	0.239
1.670	16.901	0.239
1.680	16.901	0.239
1.690	16.889	0.239
1.700	16.885	0.239
1.710	16.885	0.239
1.720	16.890	0.239
1.730	16.890	0.239
1.740	16.891	0.239
1.750	16.891	0.239
1.760	16.891	0.239
1.770	16.892	0.239
1.780	16.892	0.239
1.790	16.893	0.239
1.800	16.893	0.239
1.810	16.893	0.239
1.820	16.898	0.239
1.830	16.898	0.239
1.840	16.899	0.239
1.850	16.899	0.239
1.860	16.899	0.239
1.870	16.900	0.239
1.880	16.900	0.239
1.890	16.901	0.239
1.900	16.901	0.239
1.910	16.897	0.239
1.920	16.897	0.239
1.930	16.898	0.239
1.940	16.898	0.239
1.950	16.899	0.239
1.960	16.899	0.239
1.970	16.899	0.239
1.980	16.899	0.239
1.990	16.900	0.239
2.000	16.900	0.239
2.010	16.901	0.239
2.020	16.901	0.239
2.030	16.902	0.239
2.040	16.889	0.239
2.050	16.889	0.239
2.060	16.890	0.239
2.070	16.890	0.239
2.080	16.895	0.239
2.090	16.895	0.239
2.100	16.896	0.239
2.110	16.896	0.239
2.120	16.896	0.239
2.130	16.896	0.239
2.140	16.897	0.239
2.150	16.902	0.239
2.160	16.898	0.239
2.170	16.898	0.239
2.180	16.903	0.239
2.190	16.899	0.239
2.200	16.899	0.239
2.210	16.899	0.239
2.220	16.900	0.239
2.230	16.900	0.239
2.240	16.901	0.239
2.250	16.901	0.239
2.260	16.901	0.239
2.270	16.902	0.239
2.280	16.902	0.239
2.290	16.898	0.239
2.300	16.903	0.239
2.310	16.903	0.239
2.320	16.904	0.239
2.330	16.904	0.239
2.340	16.904	0.239
2.350	16.905	0.239
2.360	16.905	0.239
2.370	16.905	0.239
2.380	16.906	0.239
2.390	16.893	0.239
2.400	16.889	0.239
2.410	16.894	0.239
2.420	16.894	0.239
2.430	16.890	0.239
2.440	16.891	0.239
2.450	16.891	0.239
2.460	16.892	0.239
2.470	16.892	0.239
2.480	16.892	0.239
2.490	16.888	0.239
