Mass Spring Dampener Velocity Data Oct 31, 2023 1:42 PM
Time (s)	Velocity (cm/s)
0.530	NaN
0.540	3.870
0.550	-0.387
0.560	-3.827
0.570	-8.127
0.580	-11.567
0.590	-15.480
0.600	-18.877
0.610	-22.747
0.620	-25.757
0.630	-27.047
0.640	-33.110
0.650	-35.647
0.660	-35.647
0.670	-35.647
0.680	-39.947
0.690	-45.107
0.700	-42.570
0.710	-44.247
0.720	-44.677
0.730	-48.547
0.740	-41.237
0.750	-43.817
0.760	-46.397
0.770	-38.270
0.780	-40.807
0.790	-41.667
0.800	-38.227
0.810	-33.927
0.820	-30.487
0.830	-27.520
0.840	-27.047
0.850	-25.757
0.860	-15.437
0.870	-19.737
0.880	-7.267
0.890	-8.600
0.900	-3.827
0.910	0.903
0.920	3.913
0.930	7.740
0.940	8.643
0.950	18.103
0.960	15.523
0.970	25.800
0.980	25.413
0.990	26.703
1.000	32.723
1.010	33.110
1.020	33.583
1.030	41.753
1.040	40.850
1.050	42.183
1.060	40.463
1.070	46.483
1.080	44.720
1.090	41.753
1.100	44.333
1.110	43.430
1.120	42.183
1.130	39.603
1.140	39.560
1.150	38.313
1.160	36.163
1.170	33.153
1.180	31.390
1.190	28.853
1.200	25.413
1.210	22.833
1.220	18.920
1.230	15.523
1.240	11.653
1.250	7.783
1.260	3.870
1.270	0.043
1.280	-3.827
1.290	-7.697
1.300	-11.610
1.310	-15.437
1.320	-18.447
1.330	-21.887
1.340	-25.327
1.350	-28.337
1.360	-30.960
1.370	-33.497
1.380	-33.497
1.390	-37.797
1.400	-39.517
1.410	-41.237
1.420	-39.560
1.430	-43.387
1.440	-43.817
1.450	-45.537
1.460	-42.527
1.470	-44.247
1.480	-46.827
1.490	-37.410
1.500	-37.367
1.510	-38.227
1.520	-36.507
1.530	-33.927
1.540	-31.347
1.550	-28.380
1.560	-29.197
1.570	-19.737
1.580	-18.447
1.590	-16.727
1.600	-13.330
1.610	-4.687
1.620	-4.257
1.630	0.043
1.640	3.483
1.650	3.870
1.660	12.943
1.670	17.673
1.680	15.953
1.690	21.930
1.700	28.423
1.710	27.133
1.720	30.530
1.730	33.583
1.740	37.883
1.750	40.033
1.760	38.700
1.770	37.023
1.780	43.043
1.790	46.010
1.800	40.893
1.810	45.193
1.820	46.483
1.830	43.860
1.840	39.603
1.850	43.043
1.860	41.280
1.870	36.163
1.880	36.163
1.890	33.540
1.900	29.713
1.910	27.993
1.920	25.413
1.930	21.930
1.940	17.673
1.950	15.093
1.960	11.223
1.970	7.740
1.980	3.913
1.990	0.473
2.000	-3.397
2.010	-7.697
2.020	-10.750
2.030	-15.007
2.040	-18.447
2.050	-21.457
2.060	-25.327
2.070	-27.950
2.080	-31.347
2.090	-33.497
2.100	-33.927
2.110	-37.797
2.120	-39.947
2.130	-38.700
2.140	-42.527
2.150	-42.957
2.160	-43.387
2.170	-43.817
2.180	-43.817
2.190	-43.387
2.200	-45.580
2.210	-39.517
2.220	-38.227
2.230	-38.227
