Mass Spring Only Mass Velocity Data Oct 31, 2023 1:50 PM
Time (s)	Velocity (cm/s)
0.680	NaN
0.690	-2.967
0.700	-6.837
0.710	-9.417
0.720	-12.857
0.730	-15.867
0.740	-18.060
0.750	-21.457
0.760	-24.037
0.770	-25.757
0.780	-28.337
0.790	-29.627
0.800	-31.777
0.810	-33.067
0.820	-33.927
0.830	-34.787
0.840	-35.217
0.850	-35.647
0.860	-35.217
0.870	-36.507
0.880	-34.787
0.890	-33.540
0.900	-32.207
0.910	-30.917
0.920	-28.767
0.930	-26.617
0.940	-24.897
0.950	-22.747
0.960	-19.737
0.970	-17.157
0.980	-13.717
0.990	-11.997
1.000	-7.697
1.010	-5.117
1.020	-1.720
1.030	1.333
1.040	4.773
1.050	7.353
1.060	10.793
1.070	14.233
1.080	15.953
1.090	20.210
1.100	22.403
1.110	24.123
1.120	26.703
1.130	29.283
1.140	31.003
1.150	32.250
1.160	33.583
1.170	34.443
1.180	35.733
1.190	36.593
1.200	37.883
1.210	35.690
1.220	36.163
1.230	34.443
1.240	32.723
1.250	30.143
1.260	28.853
1.270	27.520
1.280	25.843
1.290	23.693
1.300	20.683
1.310	18.963
1.320	15.523
1.330	13.373
1.340	9.890
1.350	6.923
1.360	3.913
1.370	0.903
1.380	-2.537
1.390	-5.977
1.400	-9.417
1.410	-13.287
1.420	-15.437
1.430	-18.920
1.440	-20.597
1.450	-23.607
1.460	-25.757
1.470	-27.907
1.480	-29.627
1.490	-31.347
1.500	-32.637
1.510	-33.927
1.520	-34.787
1.530	-35.217
1.540	-36.507
1.550	-35.217
1.560	-35.217
1.570	-34.787
1.580	-33.970
1.590	-32.637
1.600	-30.917
1.610	-28.767
1.620	-26.617
1.630	-25.327
1.640	-23.177
1.650	-19.737
1.660	-17.587
1.670	-14.147
1.680	-11.997
1.690	-8.127
1.700	-5.117
1.710	-2.150
1.720	1.333
1.730	3.913
1.740	7.353
1.750	11.223
1.760	13.803
1.770	15.953
1.780	19.780
1.790	22.403
1.800	23.693
1.810	26.703
1.820	28.853
1.830	30.573
1.840	31.820
1.850	33.583
1.860	34.013
1.870	34.873
1.880	34.443
1.890	35.303
1.900	35.260
1.910	34.873
1.920	34.013
1.930	33.153
1.940	31.863
1.950	30.573
1.960	28.380
1.970	26.703
1.980	24.123
1.990	21.543
2.000	18.963
2.010	16.383
2.020	13.373
2.030	10.320
2.040	6.923
2.050	3.913
2.060	0.903
2.070	-2.537
2.080	-5.547
2.090	-8.557
2.100	-11.997
2.110	-14.577
2.120	-18.060
2.130	-20.167
2.140	-23.177
2.150	-25.327
2.160	-27.477
